,symbol,open,close,high,low,volume,relative_strength,relative_strength_sp500,rank
150,GOGL,13.4600000381,13.3900003433,13.7500000000,13.2700004578,3970200,1.2313538185,1.1920861728,0.97
151,HES,125.5599975586,127.7200012207,129.3699951172,124.1500015259,3044800,1.1916220783,1.1922252838,0.97
152,DKL,53.8300018311,53.5800018311,53.8300018311,52.1899986267,64000,1.1688670981,1.1694587848,0.97
153,HAL,40.9500007629,40.4900016785,41.4099998474,39.7400016785,9898100,1.1899245419,1.1899245419,0.97
154,SOI,13.1599998474,13.8000001907,13.8500003815,12.8800001144,464800,1.1973663250,1.1979724382,0.97
155,INSW,22.9599990845,23.9799995422,24.0499992371,22.7199993134,410700,1.1622421475,1.1628304807,0.96
156,ACC,64.7200012207,64.7699966431,64.9199981689,64.6900024414,1480800,1.1394799131,1.1400567239,0.96
157,AVD,23.7099990845,23.1399993896,23.7600002289,22.4599990845,784100,1.1626266619,1.1632151897,0.96
158,BGR,13.4899997711,13.3199996948,13.4899997711,13.1000003815,182200,1.1519237091,1.1525068190,0.96
159,BKEP,4.5599999428,4.5599999428,4.5599999428,4.5500001907,55100,1.1840770957,1.1463170960,0.96
160,CDEV,9.2600002289,9.2500000000,9.5399999619,9.0749998093,7845100,1.1861427983,1.1483169236,0.96
161,DLNG,3.7999999523,3.8099999428,3.9990000725,3.7200000286,96200,1.1611754761,1.1617632693,0.96
162,KRO,19.1499996185,18.7500000000,19.1499996185,18.5000000000,222900,1.1404177704,1.1409950559,0.96
163,MNTK,13.5900001526,13.6300001144,13.8500003815,13.3500003815,301000,1.1995039946,1.1612520338,0.96
164,NTUS,32.7000007629,32.7099990845,32.9000015259,32.6199989319,190800,1.1809740212,1.1433129779,0.96
165,PAG,118.8300018311,115.5199966431,121.1100006104,114.3899993896,379600,1.1499503097,1.1505324207,0.96
166,SSL,26.2000007629,25.8799991608,26.2600002289,25.6800003052,247100,1.1503883094,1.1509706421,0.96
167,TMST,22.2700004578,22.3999996185,22.9939994812,22.1399993896,527200,1.1570647857,1.1576504980,0.96
