,symbol,close,volume,relative_strength_sp500,rank
445,HWM,36.4700012207,1784239,1.0372561941,0.83
446,UTL,57.1300010681,13278,1.0351820820,0.83
447,NJR,46.9500007629,48245,1.0359211549,0.83
448,LYB,111.1200027466,381561,1.0373289874,0.83
449,NSR,8.2299995422,4425,1.0342033859,0.82
450,NXST,174.9400024414,54733,1.0325827236,0.82
451,BCH,20.8700008392,14819,1.0338765927,0.82
452,TTMI,14.5399999619,187683,1.0318594180,0.82
453,CEQP,30.2500000000,26543,1.0290765301,0.81
454,ARTNA,47.2099990845,1681,1.0306714669,0.81
455,GWW,504.3500061035,24195,1.0299617818,0.81
456,RIO,77.1600036621,1643509,1.0235754046,0.80
457,NWN,55.4000015259,38334,1.0218780382,0.79
458,HFRO,11.7225999832,24879,1.0203690340,0.78
459,FRBK,4.3699998856,40498,1.0126073070,0.76
460,TAP,54.7742996216,179147,1.0095453761,0.74
461,MRCY,62.9000015259,56233,1.0051411445,0.71
