,symbol,open,close,high,low,volume,relative_strength,relative_strength_sp500,rank
264,CBT,73.0899963379,72.8099975586,74.6399993896,71.6999969482,627300,1.0774604974,1.0780058863,0.91
265,SJIV,68.7799987793,69.3349990845,69.3349990845,68.7799987793,3100,1.0692733461,1.0698145910,0.90
266,AUY,5.3099999428,5.6500000954,5.7100000381,5.2600002289,34969798,1.0722247437,1.0727674825,0.90
267,OIS,8.0399999619,7.7899999619,8.1499996185,7.4499998093,842300,1.0676408305,1.0681812490,0.90
268,SNEX,78.7200012207,75.6500015259,78.7200012207,75.4700012207,57200,1.1072723543,1.0719618135,0.90
269,NJR,45.7099990845,46.0400009155,46.5200004578,45.4000015259,327000,1.0591996849,1.0597358307,0.89
270,BCX,11.0699996948,11.0299997330,11.0796003342,10.9399995804,331219,1.0645575577,1.0650964155,0.89
271,AM,10.8800001144,10.7500000000,10.8900003433,10.5950002670,2085175,1.0620457536,1.0625833399,0.89
272,DBI,15.3299999237,15.0399999619,15.6599998474,15.0200004578,973500,1.0612610443,1.0617982334,0.89
273,BECN,62.6199989319,61.7500000000,63.3199996948,60.9399986267,425100,1.0962092378,1.0612514960,0.89
274,TRP,56.4700012207,56.8300018311,57.2000007629,56.3300018311,1065400,1.0638946810,1.0644332032,0.89
275,RIG,4.5300002098,4.4000000954,4.6399998665,4.2199997902,25369100,1.0609795770,1.0615166237,0.89
276,NSR,7.8899998665,8.1999998093,8.2200002670,7.6599998474,25900,1.0638008890,1.0643393637,0.89
277,UNVR,30.8999996185,30.4799995422,31.3999996185,30.4099998474,2013600,1.0631082824,1.0636464066,0.89
278,AROC,9.8299999237,9.6400003433,9.8699998856,9.4799995422,1154197,1.0604823531,1.0610191481,0.89
279,LW,66.1999969482,66.5800018311,67.2600021362,66.0000000000,1056800,1.0647611214,1.0653000822,0.89
280,DNOW,11.3299999237,11.0200004578,11.3500003815,10.8950004578,447800,1.0575110576,1.0580463486,0.88
281,UTL,56.0800018311,56.2700004578,57.4300003052,55.9700012207,57200,1.0584718070,1.0590075843,0.88
282,CTS,38.6899986267,38.4399986267,38.9099998474,38.4399986267,94100,1.0566871510,1.0572220250,0.88
283,PAA,11.6199998856,11.4300003052,11.6999998093,11.3699998856,3625600,1.0931097778,1.0582508767,0.88
284,SHLX,14.5100002289,14.5000000000,14.6000003815,14.3299999237,1244900,1.0515344194,1.0520666851,0.87
285,PAGP,12.1899995804,12.0799999237,12.2500000000,11.9499998093,1574000,1.0879053678,1.0532124336,0.87
286,DXR,12.6700000763,12.6899995804,13.0000000000,12.3999996185,1600,1.0831661941,1.0486243905,0.86
287,BHR,6.0399999619,5.9600000381,6.2300000191,5.9099998474,704205,1.0466535714,1.0471833665,0.86
288,OSBC,14.7200002670,14.4399995804,14.9099998474,14.3500003815,288800,1.0856331900,1.0510127148,0.86
289,SLP,48.2400016785,47.8499984741,49.2799987793,47.5499992371,82200,1.0779060588,1.0435319992,0.85
290,PSN,39.8699989319,38.4599990845,39.8849983215,38.4300003052,371300,1.0367994234,1.0373242306,0.83
291,KEX,68.4000015259,68.0100021362,68.7799987793,67.5100021362,364900,1.0347843065,1.0353080936,0.80
292,AMPI,9.7899999619,9.7899999619,9.7899999619,9.7899999619,0,1.0334272252,1.0339503255,0.78
293,MNTX,7.1199998856,7.7199997902,7.7199997902,7.1199998856,700,1.0679385969,1.0338823963,0.78
